material_number|material_name|material_group
2013908-MV|EM-30-37.625X50.625|60BA
2013909-MV|EM-30-37.625X50.625|60BA
2013951-MV|27-APM-4-100-II-150|50BG
2000694-MV|VCD-23-83.75x24.75|60CA
2000564-MV|SMD-401EF-60.75x26.75|60CA
2002551-MV|VCD-43-45.075x21.213|60CA
2002567-MV|SD58S01F12-27X32-RHN|41AA
447383|FOAM,SHT,.25X72X250FT,SLIT 6,PERF/8.5|9XA
2016002-MV|15-APM-4-70-II-50|50BG
2014086-MV|EM-30-32.3X32.3|60BA
2011716-MV|VCD-43-70.875x53.875|60CA
2013850-MV|USF-13-5-B1-00-01-01|50BD
2013830-MV|22-APM-4-100-I-75|50BG
2013822-MV|24-APM-4-100-II-200|50BG
2013779-MV|18-APM-4-100-I-50|50BG
2013778-MV|18-APM-4-100-I-50|50BG
2011761-MV|EM-30-33.02X33.02|60BA
2011757-MV|18-APH-4-85-III-150|50CB
2016255-MV|AMD-23-54.75x8.75|60CA
464329|CONN,VLV,1.375X0.875,ASC-11-7-LNWR|9XA
1008378|REACTOR,LINE,4.2MH,12A,NEMA1,RL-01213|9XA
1008379|REACTOR,LINE,0.8MH,18A,NEMA1,RL-01811|9XA
1008381|REACTOR,LINE,2.5MH,18A,NEMA1,RL-01813|9XA
1008382|REACTOR,LINE,0.5MH,25A,NEMA1,RL-02511|9XA
MP15183|RELAY,SAFETY CONTACTOR|NP139
2016287-MV|VCD-43-33.875x16.875|60CB
1016505|BRKT,COND MOUNT,UNIV,BK-08A,S&T|9XA
2000482-MV|DX12C04S12-31.25X36-RH|41AA
1036413|SMP, FAN LOC3 APD PART29|9XA
1036380|SMP, FAN LOC2 APD PART16|9XA
2013768-MV|VCD-23-40.875x94.875|60CA
2013925-MV|VCD-43-39.875x40.875|60CA
1036397|SMP, FAN LOC3 APD PART13|9XA
MP15019|MOTOR,BALDOR,TEFC,1HP,115-230V,1PH,60HZ|NP139
MP15023|DRIVER,AC,SERVO,240V,400W,15A|NP139
MP15105|VALVE,AIR VENTING|NP139
MP15110|SET,HOSE,70FT,4-IN-1|NP139
2014239-MV|20-APH-4-50-I-75|50CB
351846|BSHG,SH X 1.125|9XA
351966|BSHG,SK X 1.437|9XA
2013973-MV|20-APM-4-100-I-50|50BG
